Rank (2006),State,Population (2006),Population (2016),code
28,Abia State,2845380,3727347,NG.AB
26,Adamawa State,3178950,4248436,NG.AD
15,Akwa Ibom State,3178950,5482177,NG.AK
10,Anambra State,4177828,5527809,NG.AN
7,Bauchi State,4653066,6537314,NG.BA
36,Bayelsa State,1704515,2277961,NG.BY
9,Benue State,4253641,5741815,NG.BE
11,Borno State,4171104,5860183,NG.BO
27,Cross River State,2892988,3866269,NG.CR
12,Delta State,4112445,5663362,NG.DE
34,Ebonyi State,2176947,2880383,NG.EB
24,Edo State,3233366,4235595,NG.ED
29,Ekiti State,2398957,3270798,NG.EK
22,Enugu State,3267837,4411119,NG.EN
–,Federal Capital Territory,1405201,3564126,NG.FC
31,Gombe State,2365040,3256962,NG.GO
14,Imo State,3927563,5408756,NG.IM
8,Jigawa State,4361002,5828163,NG.JI
3,Kaduna State,6113503,8252366,NG.KD
1,Kano State,9401288,13076892,NG.KN
4,Katsina State,5801584,7831319,NG.KT
23,Kebbi State,3256541,4440050,NG.KE
20,Kogi State,3314043,4473490,NG.KO
30,Kwara State,2365353,3192893,NG.KW
2,Lagos State,9113605,12550598,NG.LA
35,Nasarawa State,1869377,2523395,NG.NA
13,Niger State,3954772,5556247,NG.NI
16,Ogun State,3751140,5217716,NG.OG
18,Ondo State,3460877,4671695,NG.ON
19,Osun State,3416959,4705589,NG.OS
5,Oyo State,5580894,7840864,NG.OY
25,Plateau State,3206531,4200442,NG.PL
6,Rivers State,5198605,7303924,NG.RI
17,Sokoto State,3702676,4998090,NG.SO
33,Taraba State,2294800,3066834,NG.TA
32,Yobe State,2321339,3294137,NG.YO
21,Zamfara State,3278873,4515427,NG.ZA
